"Path","Lines","Defs"
"internal\orchestration\hook.go","34","type Event struct { | type Hook interface { | type Chain []Hook | func (c Chain) Handle(ctx context.Context, event Event) error {"
"internal\orchestration\planner.go","250","type Plan struct { | type PlanExecutionOverview struct { | type PlanStep struct { | func (c *Coordinator) PlanSession(sessionID string, filter SuggestionFilter) Plan { | func planActionID(suggestion Suggestion) string { | func planTitle(suggestion Suggestion) string { | func planPhase(suggestion Suggestion) string { | func planInitialState(suggestion Suggestion, dependsOn string, dependencySatisfied bool) string { | func buildPlanSummary(suggestions []Suggestion) string { | func (c *Coordinator) PlanExecutionOverview(sessionID string, filter SuggestionFilter) PlanExecutionOverview { | func countBlockingSuggestionsCore(suggestions []Suggestion) int { | func isValidPlanStepState(state string) bool { | func isAllowedPlanStepTransition(current, next string) bool {"
"internal\permissions\policy.go","653","type Mode string | const ( | type Policy struct { | type AutoClassifier func(Request) (Decision, bool) | type Request struct { | type Action string | const ( | type Match struct { | type Rule struct { | type RuleSource string | const ( | type RuleLayer struct { | type Decision struct { | type DecisionReasonType string | const ( | type DecisionReason struct { | type PermissionUpdateType string | const ( | type PermissionUpdateDestination string | const ( | type PermissionRuleValue struct { | type PermissionUpdate struct { | type Category string | const ( | func (p Policy) Evaluate(req Request) Decision { | func isShellTool(toolName string) bool { | func (d Decision) UpdatedInputValue() (string, bool, error) { | func (d Decision) SerializedDecisionReason() string { | func (r DecisionReason) Serialize() string { | func (r DecisionReason) Structured() map[string]any { | func (p Policy) ApplyPermissionUpdates(updates []PermissionUpdate) Policy { | func (p Policy) DeriveForSubagent() Policy { | func (r Rule) matches(req Request) bool { | func permissionUpdateRules(update PermissionUpdate) []Rule { | func permissionUpdateRuleSource(destination PermissionUpdateDestination) RuleSource { | func rulesWithoutBehavior(rules []Rule, behavior Action) []Rule { | func removePermissionUpdateRules(existing, remove []Rule) []Rule { | func containsEquivalentRule(rules []Rule, candidate Rule) bool { | func appendUniqueStrings(values []string, additions ...string) []string { | func removeStrings(values []string, removals ...string) []string { | func sameStrings(left, right []string) bool { | func ToolNameMatchesRule(ruleToolName, actualToolName string) bool { | func insideAnyRoot(workDir string, roots []string) bool { | func normalizePath(value string) string { | func saferMode(mode Mode) Mode { | func (p Policy) finalizeDecision(decision Decision) Decision { | func matchesAny(input string, patterns []string) bool {"
"internal\permissions\policy_test.go","707","func TestPolicyEvaluateAskModeRequiresApproval(t *testing.T) { | func TestPolicyEvaluateAskModeRequiresApprovalForClaudeShellTools(t *testing.T) { | func TestPolicyEvaluateWorkspaceModeAllowsInsideWorkspace(t *testing.T) { | func TestPolicyEvaluateWorkspaceModeRequiresApprovalOutsideWorkspace(t *testing.T) { | func TestPolicyEvaluateDangerFullAccessAllowsEverywhere(t *testing.T) { | func TestPolicyEvaluateBypassPermissionsAllowsOutsideWorkspaceWithoutApproval(t *testing.T) { | func TestPolicyEvaluateBypassPermissionsStillRespectsAskRule(t *testing.T) { | func TestPolicyAutoModeUsesClassifierDecisionWhenAvailable(t *testing.T) { | func TestPolicyApplyPermissionUpdatesAddRulePrependsSessionRule(t *testing.T) { | func TestPolicyApplyPermissionUpdatesReplaceAndRemoveRules(t *testing.T) { | func TestPolicyApplyPermissionUpdatesModeAndDirectories(t *testing.T) { | func TestDecisionReasonSerializeMatchesClaudeStructuredIOSemantics(t *testing.T) { | func TestDecisionReasonStructuredMatchesClaudeInternalShape(t *testing.T) { | func TestPolicyEvaluateDontAskConvertsApprovalIntoDeny(t *testing.T) { | func TestPolicyEvaluateDefaultModeBehavesLikeExplicitApprovalMode(t *testing.T) { | func TestPolicyEvaluateAcceptEditsAllowsDestructiveNonSystemToolsButStillAsksForSystemRun(t *testing.T) { | func TestPolicyEvaluateAllowsNonSystemToolsWithoutApproval(t *testing.T) { | func TestPolicyEvaluateAskModeRequiresApprovalForDestructiveTool(t *testing.T) { | func TestPolicyEvaluateWorkspaceModeAllowsDestructiveTool(t *testing.T) { | func TestPolicyEvaluatePlanModeRequiresApprovalForSystemRun(t *testing.T) { | func TestPolicyEvaluatePlanModeStillAllowsNonSystemTools(t *testing.T) { | func TestPolicyEvaluatePlanModeRequiresApprovalForDestructiveTool(t *testing.T) { | func TestPolicyEvaluateIncludesRuleSourceForRuleDenial(t *testing.T) { | func TestPolicyEvaluateIncludesRuleSourceForRuleAllow(t *testing.T) { | func TestPolicyEvaluateIncludesRuleSourceForRuleAsk(t *testing.T) { | func TestPolicyEvaluateMatchesServerPrefixToolRule(t *testing.T) { | func TestPolicyEvaluateMatchesServerWildcardToolRule(t *testing.T) { | func TestPolicyDeriveForSubagentDefaultsToSaferMode(t *testing.T) { | func TestPolicyDeriveForSubagentUsesExplicitOverride(t *testing.T) {"
"internal\permissions\rules_test.go","103","func TestPolicyRuleDenyOverridesDangerMode(t *testing.T) { | func TestPolicyRuleAllowByPathOverridesWorkspacePrompt(t *testing.T) { | func TestPolicyRuleDenyToolAlwaysBlocks(t *testing.T) { | func TestPolicyDangerousCommandRequiresApprovalInsideWorkspace(t *testing.T) {"
"internal\permissions\setup.go","271","func SetupPolicy(policy Policy) (Policy, error) { | func normalizeMode(mode Mode) Mode { | func normalizeOptionalMode(mode Mode) Mode { | func isKnownMode(mode Mode) bool { | func modeRank(mode Mode) int { | func dedupeNormalized(values []string) []string { | func collapseNestedRoots(roots []string) []string { | func normalizeRule(rule Rule, workspaceRoots []string) (Rule, error) { | func normalizeRuleLayers(layers []RuleLayer, workspaceRoots []string) ([]RuleLayer, error) { | func mergeRuleLayers(inline []Rule, layers []RuleLayer) []Rule { | func ruleSourceRank(source RuleSource) int { | func isDangerousAutoModeRule(rule Rule) bool { | func isDangerousCommandPattern(pattern string) bool {"
"internal\permissions\setup_test.go","486","func TestSetupPolicyNormalizesAndDedupesWorkspaceRoots(t *testing.T) { | func TestSetupPolicyRequiresWorkspaceRootsForWorkspaceMode(t *testing.T) { | func TestSetupPolicyRejectsUnknownModes(t *testing.T) { | func TestSetupPolicyNormalizesClaudeCodeExternalModes(t *testing.T) { | func TestSetupPolicyAcceptsClaudeCodeUserAddressableModes(t *testing.T) { | func TestSetupPolicyKeepsEmptySubagentModeUnset(t *testing.T) { | func TestSetupPolicyRejectsSubagentEscalation(t *testing.T) { | func TestSetupPolicyNormalizesSubagentModeAndDangerousPatterns(t *testing.T) { | func TestSetupPolicyRejectsAutoModeWithAskPolicy(t *testing.T) { | func TestSetupPolicyRejectsPlanAndAutoModeTogether(t *testing.T) { | func TestSetupPolicyRejectsDangerousAutoModeAllowRules(t *testing.T) { | func TestSetupPolicyRejectsAutoModeAgentTaskAllowRule(t *testing.T) { | func TestSetupPolicyRejectsAutoModeDangerousInterpreterAllowRule(t *testing.T) { | func TestSetupPolicyAllowsAutoModeScopedSafeCommandRule(t *testing.T) { | func TestSetupPolicyRejectsRuleWorkspaceOutsideConfiguredRoots(t *testing.T) { | func TestSetupPolicyAllowsRuleWorkspaceInsideConfiguredRoots(t *testing.T) { | func TestSetupPolicyMergesRuleLayersBySourcePrecedence(t *testing.T) { | func TestSetupPolicyLayeredRulesAffectEvaluationInMergedOrder(t *testing.T) { | func TestSetupPolicySortsExpandedRuleSourcesByPrecedence(t *testing.T) { | func TestPolicyDeriveForSubagentClearsInteractiveRunModes(t *testing.T) {"
"internal\permissions\ssh_permission_test.go","112","func TestSSHConservativePermissionSemantics(t *testing.T) { | func TestSSHDangerFullAccessStillAllows(t *testing.T) { | func TestLocalShellToolsNotAffectedBySSHConservativeSemantics(t *testing.T) {"
"internal\prompt\builder.go","377","type BuildInput struct { | type Context struct { | func Build(input BuildInput) Context { | func buildSystemPrompt(input BuildInput) string { | func defaultSystemPromptParts(sess session.Session) []string { | func buildHistoryLines(history []session.Message, currentUserMessageID string) []string { | func buildWorkspaceLines(ctx workspace.Context) []string { | func buildToolLines(defs []tools.Definition) []string { | func toolSortPartition(def tools.Definition) int { | func ComposeSystemContent(ctx Context) string { | func hasSkillToolLine(lines []string) bool { | func buildExecutionBoundaryLines(systemContextLines []string) []string { | func splitAndTrim(value string) []string { | func dedupeStrings(values []string) []string { | func withoutStrings(values []string, blocked []string) []string {"
"internal\prompt\builder_test.go","665","func TestBuildSeparatesCurrentUserMessageFromHistory(t *testing.T) { | func TestBuildDefaultSystemPromptIncludesCoreAgentGuidance(t *testing.T) { | func TestComposeSystemContentIncludesContextLifecycleGuidance(t *testing.T) { | func TestComposeSystemContentIncludesApprovalAndToolResultGuidance(t *testing.T) { | func TestComposeSystemContentIncludesSkillToolGuidanceWhenSkillToolAvailable(t *testing.T) { | func TestComposeSystemContentOmitsSkillGuidanceWithoutSkillTool(t *testing.T) { | func TestBuildIncludesSessionMemories(t *testing.T) { | func TestBuildGroupsTypedSessionMemories(t *testing.T) { | func TestBuildSystemPromptIncludesToolProtocolInstructions(t *testing.T) { | func TestBuildToolLinesIncludeSearchHintsAndDeferredMarkers(t *testing.T) { | func TestBuildSupportsCustomAppendAndOverrideSystemPrompt(t *testing.T) { | func TestBuildToolLinesKeepBuiltinsAsSortedPrefixForPromptStability(t *testing.T) { | func TestBuildToolLinesDeduplicateByNameWithBuiltinPrecedence(t *testing.T) { | func TestComposeSystemContentIncludesWorkspaceTranscriptAndMemories(t *testing.T) { | func TestComposeSystemContentDedupesAndOrdersMemorySections(t *testing.T) { | func TestBuildSkipsSummaryMessagesFromRecentTranscriptWhenTypedSummaryMemoryExists(t *testing.T) { | func TestComposeSystemContentIncludesExecutionBoundaries(t *testing.T) { | func TestComposeSystemContentIncludesAskModeApprovalGuidance(t *testing.T) {"
"internal\protocol\ws\message.go","197","type Message struct { | type ConnectPayload struct { | type SendMessagePayload struct { | type SpawnSubagentPayload struct { | type SessionStatusPayload struct { | type SessionSetPermissionPayload struct { | type SessionSetModelPayload struct { | type MCPStatusPayload struct { | type MCPActionPayload struct { | type ApprovalListPayload struct { | type ApprovalClearPayload struct { | type OrchestrationHistoryPayload struct { | type OrchestrationEvaluatePayload struct { | type OrchestrationPlanStepUpdatePayload struct { | type OrchestrationPlanStepHistoryPayload struct { | type OrchestrationPlanExecutionHistoryPayload struct { | const ( | type ErrorPayload struct { | func ConnectResponse(id, sessionID, sessionKey string) Message { | func InvalidConnectResponse(id, message string) Message { | func EventMessage(event string, payload map[string]any) Message { | func ErrorResponse(id, message string) Message {"
"internal\queryengine\compaction_model.go","14","func (q *QueryEngine) compactorForSession(sessionID string) *compaction.Service {"
"internal\queryengine\context_provider.go","203","const maxGitStatusChars = 2000 | type UserContextProvider interface { | type UserContextProviderFunc func(session.Session, workspace.Context) []string | func (f UserContextProviderFunc) Lines(sess session.Session, workspaceContext workspace.Context) []string { | type SystemContextProvider interface { | type SystemContextProviderFunc func(session.Session, workspace.Context, permissions.Policy) []string | func (f SystemContextProviderFunc) Lines(sess session.Session, workspaceContext workspace.Context, policy permissions.Policy) []string { | func defaultUserContextProvider(disableClaudeMd bool) UserContextProvider { | func defaultSystemContextProvider(systemPromptInjection string, disableGitStatus bool) SystemContextProvider { | func gitStatusSnapshot(root string) (string, bool) { | func defaultGitMainBranch(root, currentBranch string) (string, bool) { | func gitCommandSucceeded(root string, args ...string) bool { | func runGitCommand(root string, args ...string) (string, bool) { | func emptyFallback(value, fallback string) string { | func truncateGitStatus(status string) string { | func workspaceFileContent(workspaceContext workspace.Context, name string) (string, bool) { | func workspaceInstructionContent(workspaceContext workspace.Context) (string, bool) {"
"internal\queryengine\model_resolution.go","119","const ( | func parseUserSpecifiedMainLoopModel(model string, provider string) string { | func defaultOpusModel() string { | func defaultSonnetModel(provider string) string { | func defaultHaikuModel() string { | func smallFastModel() string { | func resolveRuntimeMainLoopModel(model string, policy permissions.Policy) string { | func resolveRuntimeMainLoopModelWithContext(model string, policy permissions.Policy, exceeds200kTokens bool) string { | func resolveRuntimeMainLoopModelWithProviderAndContext(model string, policy permissions.Policy, provider string, exceeds200kTokens bool) string { | func normalizeMainLoopModelInput(model string) (string, bool) { | func withOptional1mTag(model string, has1mTag bool) string {"
"internal\queryengine\queryengine.go","4601","type EventSink interface { | type Event struct { | func toolResultIdentity(message *session.Message) (string, bool) { | type PermissionHookRequest struct { | type PermissionHook interface { | type PreToolUseHookRequest struct { | type PreToolUseHookResult struct { | func (r PreToolUseHookResult) UpdatedInputValue() (string, bool, error) { | type PreToolUseHook interface { | type PostToolUseHookRequest struct { | type PostToolUseHookResult struct { | type PostToolUseHook interface { | type PostToolUseFailureHookRequest struct { | type PostToolUseFailureHookResult struct { | type PostToolUseFailureHook interface { | type PermissionUpdatePersister interface { | type Config struct { | type ProcessResult struct { | type ImmediateMessage struct { | type InputProcessor interface { | type noopInputProcessor struct{} | type InputProcessorFunc func(context.Context, session.Session, string) (ProcessResult, error) | func (f InputProcessorFunc) Process(ctx context.Context, sess session.Session, input string) (ProcessResult, error) { | func (noopInputProcessor) Process(_ context.Context, _ session.Session, input string) (ProcessResult, error) { | type PermissionDenial struct { | type ApprovalRequiredError struct { | func (e *ApprovalRequiredError) Error() string { | type SnipReplayResult struct { | type PostCompactCleanupResult struct { | type SessionStartCompactHook interface { | type TranscriptPathProvider func(session.Session) string | type State struct { | type MCPInventory struct { | type MCPServerSnapshot struct { | type QueryEngine struct { | func New(cfg Config) *QueryEngine { | func registerConfiguredMCPTools(registry *tools.Registry, configured map[string]tools.MCPToolsListResult, caller tools.MCPToolCaller, contextualCaller tools.MCPContextualToolCaller) { | func prepareMCPConfig(cfg *Config, toolRegistry *tools.Registry) { | func mergeDiscoveredMCPConfig(cfg *Config, discovered tools.MCPDiscoveryResult) { | func registerMCPAuthTools(registry *tools.Registry, auth map[string]tools.MCPAuthToolResult) { | func (q *QueryEngine) SubmitPrompt(ctx context.Context, sess session.Session, promptText string, sink EventSink) error { | func (q *QueryEngine) SubmitMessage(ctx context.Context, sess session.Session, userMessage session.Message, sink EventSink) error { | func (q *QueryEngine) ApproveAndContinue(ctx context.Context, approvalID string, sink EventSink) error { | func (q *QueryEngine) RejectAndContinue(ctx context.Context, approvalID, feedback string, contentBlocks []map[string]any, sink EventSink) error { | func (q *QueryEngine) completeWithPermissionRejection(ctx context.Context, sess session.Session, runID string, sink EventSink, pending *toolCall, reason string, contentBlocks []map[string]any) (session.Message, error) { | func (q *QueryEngine) clearPendingApprovalMetadata(request approval.Request) { | func (q *QueryEngine) Sessions() *session.Manager { | func (q *QueryEngine) MemoryService() *memory.Service { | func (q *QueryEngine) ApprovalManager() *approval.Manager { | func (q *QueryEngine) SetReportToolProgress(report tools.ProgressFunc) { | func (q *QueryEngine) Messages(sessionID string) []session.Message { | func (q *QueryEngine) toolUseContext(ctx context.Context, sess session.Session, pending *toolCall, runID string, sink EventSink) tools.ToolUseContext { | func (q *QueryEngine) mcpReconnectFunc() tools.MCPReconnectFunc { | func (q *QueryEngine) MCPInventory() MCPInventory { | func (q *QueryEngine) MCPServers() []MCPServerSnapshot { | func (q *QueryEngine) ReconnectMCP(ctx context.Context, server string) (MCPServerSnapshot, error) { | func (q *QueryEngine) AuthenticateMCP(ctx context.Context, server string) (tools.MCPAuthStartResult, MCPServerSnapshot, error) { | func (q *QueryEngine) mcpServerSnapshot(server string) (MCPServerSnapshot, error) { | func (q *QueryEngine) canUseToolFunc(parentCtx context.Context, sess session.Session) tools.CanUseToolFunc { | func (q *QueryEngine) setToolAppStateFunc(sessionID string) func(func(map[string]any) map[string]any) { | func (q *QueryEngine) markMCPServerNeedsAuth(toolName string, err error) { | func (q *QueryEngine) mcpServerFromToolName(toolName string) (string, bool) { | func (q *QueryEngine) mcpToolTarget(toolName string) (string, string, bool) { | func (q *QueryEngine) mcpServerNames() []string { | func (q *QueryEngine) applyToolContextModifier(sessionID string, current tools.ToolUseContext, modifier func(tools.ToolUseContext) tools.ToolUseContext) { | func (q *QueryEngine) applySkillContextOverrides(sessionID string, current, next tools.ToolUseContext) { | func skillAllowedToolRules(toolNames []string) []permissions.Rule { | func defaultFileReadingLimits(limits tools.ResourceLimits) tools.ResourceLimits { | func defaultGlobLimits(limits tools.ResourceLimits) tools.ResourceLimits { | func cloneMCPResources(resources map[string][]tools.MCPResource) map[string][]tools.MCPResource { | func (q *QueryEngine) WorkspaceLoader() *workspace.Loader { | func cloneAgentDefinitions(definitions map[string]tools.AgentDefinition) map[string]tools.AgentDefinition { | func cloneMCPTools(configured map[string]tools.MCPToolsListResult) map[string]tools.MCPToolsListResult { | func cloneMCPPrompts(prompts map[string]tools.MCPPromptsListResult) map[string]tools.MCPPromptsListResult { | func cloneMCPSkills(skills map[string][]tools.SkillCommand) map[string][]tools.SkillCommand { | func cloneMCPAuthResults(values map[string]tools.MCPAuthToolResult) map[string]tools.MCPAuthToolResult { | func cloneMCPAuthResult(value tools.MCPAuthToolResult) tools.MCPAuthToolResult { | func cloneStringMap(values map[string]string) map[string]string { | func mcpAuthAppState(values map[string]tools.MCPAuthToolResult) map[string]any { | func (q *QueryEngine) reconnectMCPServer(ctx context.Context, server string) (tools.MCPReconnectResult, error) { | func (q *QueryEngine) applyMCPReconnectResult(server string, result tools.MCPReconnectResult) { | func (q *QueryEngine) applyMCPAuthState(server string, auth tools.MCPAuthToolResult) { | func (q *QueryEngine) applyMCPFailureState(server, message string) { | func (q *QueryEngine) unregisterMCPServerTools(server string) { | func (q *QueryEngine) mcpClient(server string) (tools.MCPConnection, bool) { | func (q *QueryEngine) enrichMCPConnectionWithAuthState(server string, connection tools.MCPConnection) tools.MCPConnection { | func (q *QueryEngine) startMCPAuthCompletionContinuation(server string, completion <-chan tools.MCPAuthCompletionResult) { | func (q *QueryEngine) setMCPClientLocked(server string, client tools.MCPConnection) { | func cloneSingleMCPToolsResult(result tools.MCPToolsListResult) tools.MCPToolsListResult { | func cloneSingleMCPPromptResult(result tools.MCPPromptsListResult) tools.MCPPromptsListResult { | func mcpSkillSnapshotLabel(skill tools.SkillCommand) string { | func ensureMCPServerSnapshot(index map[string]*MCPServerSnapshot, name string) *MCPServerSnapshot { | func describeMCPEndpoint(client tools.MCPConnection) string { | func compactAndSortStrings(values []string) []string { | func toolsMCPAuthCompleteStatus(status string) bool { | func (q *QueryEngine) exposedTools(sessionID string, includeDeferred bool) []tools.Definition { | func (q *QueryEngine) isCurrentMCPToolDefinition(name string) bool { | func cloneToolDecisions(decisions map[string]tools.ToolDecision) map[string]tools.ToolDecision { | func (q *QueryEngine) State() State { | func (q *QueryEngine) Interrupt() { | func (q *QueryEngine) PermissionPolicyForSession(sessionID string) permissions.Policy { | func (q *QueryEngine) SetSessionPermissionPolicy(sessionID string, policy permissions.Policy) { | func (q *QueryEngine) applyUpdatedPermissions(ctx context.Context, sess session.Session, updates []permissions.PermissionUpdate) error { | func (q *QueryEngine) SetSessionMainLoopModelOverride(sessionID, model string) error { | func (q *QueryEngine) ClearSessionMainLoopModelOverride(sessionID string) error { | func (q *QueryEngine) BaseMainLoopModelForSession(sessionID string) string { | func (q *QueryEngine) SessionMainLoopModelOverride(sessionID string) string { | func (q *QueryEngine) ResolvedMainLoopModelForSession(sessionID string) string { | func (q *QueryEngine) runModelPass(ctx context.Context, sess session.Session, userMessage session.Message, runID string, sink EventSink) (*textStreamCollector, error) { | func llmToolDefinitions(defs []tools.Definition) []llm.ToolDefinition { | func (q *QueryEngine) memoryLines(sessionID string) []string { | func (q *QueryEngine) memoryItems(sessionID string) []memory.Item { | func (q *QueryEngine) workspaceContextForSession(sess session.Session) (workspace.Context, error) { | func (q *QueryEngine) agentSystemPromptForSession(sess session.Session, workspaceContext workspace.Context) string { | func (q *QueryEngine) agentMemoryPromptForSession(sess session.Session, workspaceContext workspace.Context) string { | func agentMemoryNamespace(scope memory.AgentMemoryScope, workspaceRoot, sessionKey string) string { | func (q *QueryEngine) sessionMemoryCompactOptions(ctx context.Context, sess session.Session, analysis compaction.Analysis) (compaction.SessionMemoryOptions, error) { | func (q *QueryEngine) invokedSkillsForSession(sess session.Session) []tools.InvokedSkillInfo { | func (q *QueryEngine) latestSummaryMemory(sessionID string) string { | func (q *QueryEngine) lastSummarizedMessageID(sessionID string) string { | func (q *QueryEngine) ensureSessionModelMetadata(sessionID string) { | func (q *QueryEngine) mainLoopModelForSession(sessionID string) string { | func (q *QueryEngine) mainLoopModelForSessionWithHistory(sessionID string, history []session.Message) string { | func (q *QueryEngine) userContextLines(sess session.Session, workspaceContext workspace.Context) []string { | func (q *QueryEngine) systemContextLines(sess session.Session, workspaceContext workspace.Context) []string { | func (q *QueryEngine) findMessageByID(sessionID, messageID string) (session.Message, bool) { | func (q *QueryEngine) emit(sink EventSink, event Event) error { | func (q *QueryEngine) emitRunError(sink EventSink, event Event) { | func isApprovalRequiredError(err error) bool { | func (q *QueryEngine) beginRun(parent context.Context, runID, sessionID string) (context.Context, func()) { | func (q *QueryEngine) recordEvent(event Event) { | func (q *QueryEngine) recordPermissionDenial(denial PermissionDenial) { | func (q *QueryEngine) setLastAssistantReply(content string) { | func (q *QueryEngine) recordAssistantDelta(delta string) { | func (q *QueryEngine) clearActiveAssistantText() { | func (q *QueryEngine) recordStreamEvent(event llm.StreamEvent) { | func (q *QueryEngine) recordUsageEstimate(sessionID, completion string) { | func (q *QueryEngine) recordModelPass() { | func (q *QueryEngine) recordMaxTurnsExceeded() { | func (q *QueryEngine) recordInputProcessing(result ProcessResult) { | func (q *QueryEngine) recordCompactBoundary(boundary session.Message) { | func (q *QueryEngine) recordCompactionAnalysis(analysis compaction.Analysis) { | func (q *QueryEngine) recordCompactionResult(result compaction.Result) { | func (q *QueryEngine) recordCompactionPhase(phase string) { | func (q *QueryEngine) recordCompactionReplay(count int) { | func (q *QueryEngine) recordCompactionMemorySaved(summaryID string) { | func (q *QueryEngine) recordCompactionCleanup(count int) { | func (q *QueryEngine) emitImmediateMessages(sess session.Session, items []ImmediateMessage, sink EventSink) error { | func (q *QueryEngine) newCompactBoundary(sessionID string) session.Message { | func (q *QueryEngine) seedCompactBoundaryCounter() { | func compactBoundaryCounter(id string) (uint64, bool) { | func (q *QueryEngine) ensureMutableMessages(sessionID string) { | func (q *QueryEngine) ensureUserMessageTracked(sessionID string, msg session.Message) { | func (q *QueryEngine) maybeInjectSkillListingAttachment(sess session.Session) error { | func (q *QueryEngine) skillListingCommands() []tools.SkillCommand { | func dedupeSkillCommands(skills []tools.SkillCommand) []tools.SkillCommand { | func (q *QueryEngine) maybeInjectDynamicSkillAttachments(sess session.Session, userMessage session.Message) error { | func extractSkillMentionedFiles(content string) []string { | func (q *QueryEngine) hasSkillListingAttachment(sessionID string) bool { | func (q *QueryEngine) appendMutableMessage(sessionID string, msg session.Message) { | func (q *QueryEngine) replaceMutableMessages(sessionID string, items []session.Message) { | type textStreamCollector struct { | func (c *textStreamCollector) OnEvent(event llm.StreamEvent) error { | func (c *textStreamCollector) Content() string { | func parseToolCallBlock(content string) (string, string, bool) { | func normalizedToolInput(input string, inputObject map[string]any) string { | func normalizedToolInputObject(input string, inputObject map[string]any) map[string]any { | func (q *QueryEngine) observableToolInput(name, input string, inputObject map[string]any) (string, map[string]any) { | func cloneAnyMap(input map[string]any) map[string]any { | func cloneAnyMaps(input []map[string]any) []map[string]any { | func stringSetFromAny(value any) map[string]struct{} { | func stringSetKeys(set map[string]struct{}) []string { | func stringListFromAny(value any) []string { | func stringMapField(value map[string]any, key string) string { | func messageBlocksFromContentMaps(input []map[string]any) []model.MessageBlock { | func postToolUseHookBlocks(toolName, toolUseID string, result PostToolUseHookResult) []model.MessageBlock { | func preToolUseHookBlocks(toolName, toolUseID string, result PreToolUseHookResult) []model.MessageBlock { | func postToolUseFailureHookBlocks(toolName, toolUseID string, result PostToolUseFailureHookResult) []model.MessageBlock { | func hookMessageBlock(message map[string]any, hookName, toolUseID, hookEvent string) model.MessageBlock { | func (q *QueryEngine) latestUserMessage(sessionID string) session.Message { | func isMCPToolDefinition(def tools.Definition) bool { | const rejectMessage = ""The user doesn't want to proceed with this tool use. The tool use was rejected (eg. if it was a file edit, the new_string was NOT written to the file). STOP what you are doing and wait for the user to tell you how to proceed."" | const rejectMessageWithReasonPrefix = ""The user doesn't want to proceed with this tool use. The tool use was rejected (eg. if it was a file edit, the new_string was NOT written to the file). To tell you how to proceed, the user said:\n"" | func rejectMessageWithFeedback(feedback string) string { | func estimateMessagesTokens(messages []session.Message) int { | func estimateTextTokens(content string) int { | func resolveWorkDir(sess session.Session, loader *workspace.Loader) string { | type toolCall struct { | func (q *QueryEngine) executeTurnLoop(ctx context.Context, sess session.Session, userMessage session.Message, runID string, sink EventSink, pending *toolCall, current *textStreamCollector) (session.Message, error) { | func (q *QueryEngine) completeWithToolResult(ctx context.Context, sess session.Session, runID string, sink EventSink, toolMsg session.Message) (session.Message, error) { | func (q *QueryEngine) effectiveMaxTurns(sess session.Session) int { | func fallbackRole(role string) string { | func cloneSessionMessages(messages []session.Message) []session.Message { | func (q *QueryEngine) restoreStateFromSession(snapshot session.RecoverySnapshot) {"
